age,gender,haoxin_yijiantong,mobile_network_registered,mobile_realname_verification,fraud_risk,identity_feature_score,contract_ability_score,default_risk_score,consumer_preference_score,behavior_feature_score,social_influence_score,growth_potential_score,institution_industry,hit_institutions_count,hit_banks_count,hit_consumer_finance_count,hit_microloan_count,institution_query_total,institution_query_3m,institution_query_6m,haoxin_risk_score,haoxin_litigation_score,overall_score
24.0,0,1,0,1,0.0,86.0,56.0,67.0,90.0,87.0,49.0,85.0,2.0,5.0,0.0,0.0,4.0,21.0,6.0,6.0,0.0,0.0,515.0
24.0,0,0,0,0,0.0,88.0,87.0,63.0,91.0,86.0,56.0,85.0,4.0,19.0,1.0,4.0,9.0,30.0,0.0,0.0,0.0,0.0,480.0
44.0,0,0,0,0,0.0,72.0,30.0,18.0,45.0,95.0,49.0,87.0,1.0,27.0,2.0,3.0,15.0,79.0,6.0,12.0,0.0,0.0,358.0
38.0,0,1,1,1,0.0,91.0,37.0,60.0,90.0,91.0,49.0,88.0,1.0,15.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,40.0,358.0
34.0,0,0,0,0,0.0,92.0,89.0,68.0,94.0,87.0,49.0,88.0,2.0,7.0,0.0,0.0,5.0,10.0,1.0,1.0,0.0,0.0,540.0
34.0,0,0,1,0,0.0,84.0,93.0,69.0,91.0,86.0,49.0,85.0,5.0,17.0,1.0,0.0,11.0,35.0,1.0,1.0,157.0,1.0,386.0
22.0,0,1,0,1,0.0,73.0,86.0,61.0,94.0,86.0,49.0,88.0,5.0,12.0,1.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,456.0
25.0,0,0,0,0,0.0,90.0,75.0,79.0,90.0,87.0,49.0,85.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,565.0
32.0,0,0,1,0,0.0,83.0,77.0,75.0,90.0,87.0,49.0,85.0,5.0,35.0,0.0,5.0,22.0,97.0,1.0,4.0,0.0,0.0,395.0
30.0,0,0,0,0,0.0,94.0,62.0,43.0,90.0,88.0,60.0,85.0,1.0,36.0,0.0,3.0,23.0,115.0,11.0,20.0,10.0,0.0,358.0
